state_code,district_code,level_name,statename,districtname,date,value,variable,graph_title
IND,,national,India,,2001-01-01,1028610328.00,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
1,1,district,Jammu & Kashmir,Kupwara,2001-01-01,650393.00,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
1,2,district,Jammu & Kashmir,Badgam,2001-01-01,939425.21,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
1,3,district,Jammu & Kashmir,Leh(Ladakh),2001-01-01,117232.00,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
1,4,district,Jammu & Kashmir,Kargil,2001-01-01,119307.00,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
1,5,district,Jammu & Kashmir,Punch,2001-01-01,372613.00,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
1,6,district,Jammu & Kashmir,Rajouri,2001-01-01,483284.00,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
1,7,district,Jammu & Kashmir,Kathua,2001-01-01,511413.09,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
1,8,district,Jammu & Kashmir,Baramula,2001-01-01,844932.09,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
1,9,district,Jammu & Kashmir,Bandipore,2001-01-01,307067.25,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
1,10,district,Jammu & Kashmir,Srinagar,2001-01-01,690149.82,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
1,11,district,Jammu & Kashmir,Ganderbal,2001-01-01,219844.64,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
1,12,district,Jammu & Kashmir,Pulwama,2001-01-01,441292.85,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
1,13,district,Jammu & Kashmir,Shupiyan,2001-01-01,211314.15,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
1,14,district,Jammu & Kashmir,Anantnag,2001-01-01,762433.83,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
1,15,district,Jammu & Kashmir,Kulgam,2001-01-01,410000.17,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
1,16,district,Jammu & Kashmir,Doda,2001-01-01,320363.13,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
1,17,district,Jammu & Kashmir,Ramban,2001-01-01,215274.08,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
1,18,district,Jammu & Kashmir,Kishtwar,2001-01-01,190418.86,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
1,19,district,Jammu & Kashmir,Udhampur,2001-01-01,459519.09,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
1,20,district,Jammu & Kashmir,Reasi,2001-01-01,247662.85,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
1,21,district,Jammu & Kashmir,Jammu,2001-01-01,1355381.39,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
1,22,district,Jammu & Kashmir,Samba,2001-01-01,274261.51,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
2,23,district,Himachal Pradesh,Chamba,2001-01-01,460887.00,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
2,24,district,Himachal Pradesh,Kangra,2001-01-01,1339030.00,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
2,25,district,Himachal Pradesh,Lahul & Spiti,2001-01-01,33224.00,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
2,26,district,Himachal Pradesh,Kullu,2001-01-01,381571.00,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
2,27,district,Himachal Pradesh,Mandi,2001-01-01,901344.00,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
2,28,district,Himachal Pradesh,Hamirpur,2001-01-01,412700.00,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
2,29,district,Himachal Pradesh,Una,2001-01-01,448273.00,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
2,30,district,Himachal Pradesh,Bilaspur,2001-01-01,340885.00,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
2,31,district,Himachal Pradesh,Solan,2001-01-01,500557.00,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
2,32,district,Himachal Pradesh,Sirmaur,2001-01-01,458593.00,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
2,33,district,Himachal Pradesh,Shimla,2001-01-01,722502.00,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
2,34,district,Himachal Pradesh,Kinnaur,2001-01-01,78334.00,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
3,35,district,Punjab,Gurdaspur,2001-01-01,2103379.80,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
3,36,district,Punjab,Kapurthala,2001-01-01,754521.00,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
3,37,district,Punjab,Jalandhar,2001-01-01,1962789.49,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
3,38,district,Punjab,Hoshiarpur,2001-01-01,1481367.20,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
3,39,district,Punjab,Shahid Bhagat Singh Nagar,2001-01-01,587468.00,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
3,40,district,Punjab,Fatehgarh Sahib,2001-01-01,538409.99,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
3,41,district,Punjab,Ludhiana,2001-01-01,3032831.00,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
3,42,district,Punjab,Moga,2001-01-01,894764.51,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
3,43,district,Punjab,Firozpur,2001-01-01,1746107.00,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
3,44,district,Punjab,Muktsar,2001-01-01,777493.00,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
3,45,district,Punjab,Faridkot,2001-01-01,550892.00,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
3,46,district,Punjab,Bathinda,2001-01-01,1183295.00,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
3,47,district,Punjab,Mansa,2001-01-01,688758.00,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
3,48,district,Punjab,Patiala,2001-01-01,1588119.19,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
3,49,district,Punjab,Amritsar,2001-01-01,2156417.63,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
3,50,district,Punjab,Tarn Taran,2001-01-01,939659.37,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
3,51,district,Punjab,Rupnagar,2001-01-01,637186.06,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
3,52,district,Punjab,Sahibzada Ajit Singh Nagar,2001-01-01,735367.77,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
3,53,district,Punjab,Sangrur,2001-01-01,1471927.31,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
3,54,district,Punjab,Barnala,2001-01-01,528245.69,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
4,55,district,Chandigarh,Chandigarh,2001-01-01,900635.00,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
5,56,district,Uttarakhand,Uttarkashi,2001-01-01,295013.00,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
5,57,district,Uttarakhand,Chamoli,2001-01-01,370359.00,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
5,58,district,Uttarakhand,Rudraprayag,2001-01-01,227439.00,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
5,59,district,Uttarakhand,Tehri Garhwal,2001-01-01,604747.00,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
5,60,district,Uttarakhand,Dehradun,2001-01-01,1282143.00,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
5,61,district,Uttarakhand,Garhwal,2001-01-01,697078.00,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
5,62,district,Uttarakhand,Pithoragarh,2001-01-01,462289.00,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
